index,country_code,country_long,name_of_powerplant,latitude,longitude,primary_fuel,start date,owner of plant,capacity_in_MW,estimated_generation_gwh_2021
9895,DNK,Denmark,Aalborg,57.2544,9.9886,Solar,,,16.6,24.37
9896,DNK,Denmark,Amager,55.6899,12.633,Geothermal,,Ørsted,14.0,63.19490536160276
9897,DNK,Denmark,Amager power station,55.6859,12.6277,Coal,1982.0,HOFOR A/S,330.0,1203.7126828140476
9898,DNK,Denmark,Anholt,56.603,11.209,Wind,2013.0,50% Ørsted,399.6,1454.9153325314214
9899,DNK,Denmark,Asnæs power station,55.6615,11.0809,Coal,1975.0,Ørsted,787.0,2853.132379952551
9900,DNK,Denmark,Avedoereværket,55.6035,12.4812,Coal,,Ørsted,815.0,2954.190917195173
9901,DNK,Denmark,Avedore Holme,55.6022,12.4611,Wind,2009.0,Ørsted,11.0,31.46
9902,DNK,Denmark,Bodilsker,55.055,15.075,Solar,,,10.0,15.04
9903,DNK,Denmark,Bornholm,55.155,14.87,Solar,,,10.0,14.84
9904,DNK,Denmark,Dræby Fed,55.4503,10.5215,Wind,2010.0,100% Vattenfall,9.2,31.14
9905,DNK,Denmark,Enstedværket,55.0206,9.4419,Coal,1979.0,Ørsted,626.0,2272.045790807477
9906,DNK,Denmark,Esbjerg power station,55.4552,8.4544,Coal,1992.0,Ørsted,407.0,1481.623660231257
9907,DNK,Denmark,Falster,54.825,11.975,Solar,,,10.0,14.88
9908,DNK,Denmark,Frederikshavn,57.4438,10.5621,Wind,2003.0,Ørsted,8.0,14.33
9909,DNK,Denmark,Fyns power station,55.4292,10.4104,Coal,1984.0,Fjernvarme Fyn,362.0,1319.208153948472
9910,DNK,Denmark,H.C. Ørsted,55.6761,12.5683,Gas,,,98.0,366.3705170894678
9911,DNK,Denmark,Hagesholm,55.7606,11.5615,Wind,,100% Vattenfall,23.0,95.67800661815973
9912,DNK,Denmark,Herning CHP,56.1214,9.0068,Biomass,2009.0,,88.0,330.27818235996006
