index;country_code;country_long;name_of_powerplant;latitude;longitude;primary_fuel;start date;owner of plant;capacity_in_MW;estimated_generation_gwh_2021;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031
9895;DNK;Denmark;Aalborg;57,2544;9,9886;Solar;;;16,6;24,37;24,37;26,807;29,4877;32,43647;35,680117;39,2481287;43,17294157;47,49023573;52,2392593;57,46318523;63,20950375
9896;DNK;Denmark;Amager;55,6899;12,633;Geothermal;;Ørsted;14;63,19490536;63,19490536;69,5143959;76,46583549;84,11241904;92,52366094;101,776027;111,9536297;123,1489927;135,463892;149,0102812;163,9113093
9897;DNK;Denmark;Amager power station;55,6859;12,6277;Coal;1982;HOFOR A/S;330;1203,712683;1203,712683;1324,083951;1456,492346;1602,141581;1762,355739;1938,591313;2132,450444;2345,695488;2580,265037;2838,291541;3122,120695
9898;DNK;Denmark;Anholt;56,603;11,209;Wind;2013;50% Ørsted;399,6;1454,915333;1454,915333;1600,406866;1760,447552;1936,492308;2130,141538;2343,155692;2577,471261;2835,218388;3118,740226;3430,614249;3773,675674
9899;DNK;Denmark;Asnæs power station;55,6615;11,0809;Coal;1975;Ørsted;787;2853,13238;2853,13238;3138,445618;3452,29018;3797,519198;4177,271117;4594,998229;5054,498052;5559,947857;6115,942643;6727,536907;7400,290598
9900;DNK;Denmark;Avedoereværket;55,6035;12,4812;Coal;;Ørsted;815;2954,190917;2954,190917;3249,610009;3574,57101;3932,028111;4325,230922;4757,754014;5233,529415;5756,882357;6332,570593;6965,827652;7662,410417
9901;DNK;Denmark;Avedore Holme;55,6022;12,4611;Wind;2009;Ørsted;11;31,46;31,46;34,606;38,0666;41,87326;46,060586;50,6666446;55,73330906;61,30663997;67,43730396;74,18103436;81,59913779
9902;DNK;Denmark;Bodilsker;55,055;15,075;Solar;;;10;15,04;15,04;16,544;18,1984;20,01824;22,020064;24,2220704;26,64427744;29,30870518;32,2395757;35,46353327;39,0098866
9903;DNK;Denmark;Bornholm;55,155;14,87;Solar;;;10;14,84;14,84;16,324;17,9564;19,75204;21,727244;23,8999684;26,28996524;28,91896176;31,81085794;34,99194373;38,49113811
9904;DNK;Denmark;Dræby Fed;55,4503;10,5215;Wind;2010;100% Vattenfall;9,2;31,14;31,14;34,254;37,6794;41,44734;45,592074;50,1512814;55,16640954;60,68305049;66,75135554;73,4264911;80,76914021
9905;DNK;Denmark;Enstedværket;55,0206;9,4419;Coal;1979;Ørsted;626;2272,045791;2272,045791;2499,25037;2749,175407;3024,092948;3326,502242;3659,152467;4025,067713;4427,574485;4870,331933;5357,365126;5893,101639
9906;DNK;Denmark;Esbjerg power station;55,4552;8,4544;Coal;1992;Ørsted;407;1481,62366;1481,62366;1629,786026;1792,764629;1972,041092;2169,245201;2386,169721;2624,786693;2887,265362;3175,991899;3493,591089;3842,950197
9907;DNK;Denmark;Falster;54,825;11,975;Solar;;;10;14,88;14,88;16,368;18,0048;19,80528;21,785808;23,9643888;26,36082768;28,99691045;31,89660149;35,08626164;38,59488781
9908;DNK;Denmark;Frederikshavn;57,4438;10,5621;Wind;2003;Ørsted;8;14,33;14,33;15,763;17,3393;19,07323;20,980553;23,0786083;25,38646913;27,92511604;30,71762765;33,78939041;37,16832945
9909;DNK;Denmark;Fyns power station;55,4292;10,4104;Coal;1984;Fjernvarme Fyn;362;1319,208154;1319,208154;1451,128969;1596,241866;1755,866053;1931,452658;2124,597924;2337,057716;2570,763488;2827,839837;3110,623821;3421,686203
9910;DNK;Denmark;H.C. Ørsted;55,6761;12,5683;Gas;;;98;366,3705171;366,3705171;403,0075688;443,3083257;487,6391582;536,4030741;590,0433815;649,0477196;713,9524916;785,3477407;863,8825148;950,2707663
9911;DNK;Denmark;Hagesholm;55,7606;11,5615;Wind;;100% Vattenfall;23;95,67800662;95,67800662;105,2458073;115,770388;127,3474268;140,0821695;154,0903864;169,4994251;186,4493676;205,0943043;225,6037348;248,1641083
9912;DNK;Denmark;Herning CHP;56,1214;9,0068;Biomass;2009;;88;330,2781824;330,2781824;363,3060006;399,6366007;439,6002607;483,5602868;531,9163155;585,107947;643,6187417;707,9806159;778,7786775;856,6565452
9913;DNK;Denmark;Hjørring;57,557;9,946;Solar;;;10;14,45;14,45;15,895;17,4845;19,23295;21,156245;23,2718695;25,59905645;28,1589621;30,9748583;34,07234413;37,47957855
9914;DNK;Denmark;Holbæk;55,76;11,72;Solar;;;10;14,53;14,53;15,983;17,5813;19,33943;21,273373;23,4007103;25,74078133;28,31485946;31,14634541;34,26097995;37,68707795
9915;DNK;Denmark;Hollandsbjerg;56,4845;10,2489;Wind;2002;100% Vattenfall;16,5;37,89;37,89;41,679;45,8469;50,43159;55,474749;61,0222239;67,12444629;73,83689092;81,22058001;89,34263801;98,27690181
9916;DNK;Denmark;Horns Rev A;55,5297;7,9062;Wind;2002;60% Vattenfall;160;592,73;592,73;652,003;717,2033;788,92363;867,815993;954,5975923;1050,057352;1155,063087;1270,569395;1397,626335;1537,388968
9917;DNK;Denmark;Horns Rev B;55,6;7,5825;Wind;2010;;209,3;839,8;839,8;923,78;1016,158;1117,7738;1229,55118;1352,506298;1487,756928;1636,532621;1800,185883;1980,204471;2178,224918
9918;DNK;Denmark;Klim Fjordholme;57,0599;9,1563;Wind;1996;95% Vattenfall;67,2;172,68;172,68;189,948;208,9428;229,83708;252,820788;278,1028668;305,9131535;336,5044688;370,1549157;407,1704073;447,887448
9919;DNK;Denmark;Kyndbyværket;55,8134;11,8792;Oil;;;664;2409,196663;2409,196663;2650,116329;2915,127962;3206,640758;3527,304834;3880,035317;4268,038849;4694,842734;5164,327007;5680,759708;6248,835679
9920;DNK;Denmark;Langelinje;54,72;11,289;Solar;;;10;14,95;14,95;16,445;18,0895;19,89845;21,888295;24,0771245;26,48483695;29,13332065;32,04665271;35,25131798;38,77644978
9921;DNK;Denmark;Lerchenborg;55,6493;11,0705;Solar;2016;Wirsol Solar AG;61;232,8288786;232,8288786;256,1117664;281,7229431;309,8952374;340,8847611;374,9732373;412,470561;453,7176171;499,0893788;548,9983167;603,8981483
9922;DNK;Denmark;Læsø;57,295;11,015;Solar;;;10;14,81;14,81;16,291;17,9201;19,71211;21,683321;23,8516531;26,23681841;28,86050025;31,74655028;34,9212053;38,41332583
9923;DNK;Denmark;Middelgrunden;55,6908;12,6703;Wind;2000;Ørsted;20;46,58;46,58;51,238;56,3618;61,99798;68,197778;75,0175558;82,51931138;90,77124252;99,84836677;109,8332034;120,8165238
9924;DNK;Denmark;Nees 1-4;56,387;8,219;Solar;;;51;72,43;72,43;79,673;87,6403;96,40433;106,044763;116,6492393;128,3141632;141,1455796;155,2601375;170,7861513;187,8647664
9925;DNK;Denmark;Nordjylland power station;57,0736;10,0416;Coal;1989;Aalborg Forsyning;716;2596,876803;2596,876803;2856,564484;3142,220932;3456,443025;3802,087328;4182,296061;4600,525667;5060,578233;5566,636057;6123,299662;6735,629629
9926;DNK;Denmark;Nørre Økse Sø;57,1252;9,5452;Wind;;100% Vattenfall;17,3;75,10537582;75,10537582;82,6159134;90,87750475;99,96525522;109,9617807;120,9579588;133,0537547;146,3591302;160,9950432;177,0945475;194,8040023
9927;DNK;Denmark;Randers;56,4584;10,0475;Coal;;;52;200,3457773;200,3457773;220,3803551;242,4183906;266,6602296;293,3262526;322,6588779;354,9247656;390,4172422;429,4589664;472,4048631;519,6453494
9928;DNK;Denmark;Rejsby Hede;55,0373;8,6666;Wind;1995;100% Vattenfall;23,4;64,7;64,7;71,17;78,287;86,1157;94,72727;104,199997;114,6199967;126,0819964;138,690196;152,5592156;167,8151372
9929;DNK;Denmark;Roedsand 1;54,54;11,715;Wind;2003;;165,6;510,25;510,25;561,275;617,4025;679,14275;747,057025;821,7627275;903,9390003;994,3329003;1093,76619;1203,142809;1323,45709
9930;DNK;Denmark;Roedsand 2;54,5228;11,5447;Wind;2010;;207;804,88;804,88;885,368;973,9048;1071,29528;1178,424808;1296,267289;1425,894018;1568,483419;1725,331761;1897,864938;2087,651431
9931;DNK;Denmark;Ronland 1;56,663;8,2202;Wind;2003;Dansk Vindenergi ApS;17;50,21;50,21;55,231;60,7541;66,82951;73,512461;80,8637071;88,95007781;97,84508559;107,6295942;118,3925536;130,2318089
9932;DNK;Denmark;Samso;55,72;10,5801;Wind;2003;Vindenergi Aps;23;64,4;64,4;70,84;77,924;85,7164;94,28804;103,716844;114,0885284;125,4973812;138,0471194;151,8518313;167,0370144
9933;DNK;Denmark;Skærbækværket;55,513;9,6128;Gas;1997;;392;1427,485158;1427,485158;1570,233674;1727,257041;1899,982745;2089,98102;2298,979122;2528,877034;2781,764738;3059,941211;3365,935333;3702,528866
9934;DNK;Denmark;Sonderjylland;55,0344;9,8195;Solar;2013;Danfoss Group;2,1;20,24502703;20,24502703;22,26952974;24,49648271;26,94613098;29,64074408;32,60481849;35,86530034;39,45183037;43,39701341;47,73671475;52,51038622
