"country_long";"primary_fuel";"capacity";"estimated_generation";"year";"t"
"Denmark";"Solar";251.1000018119812;522.9638977050781;2021;1
"Denmark";"Geothermal";14.0;63.19490432739258;2021;1
"Denmark";"Coal";5089.0;18494.045364379883;2021;1
"Denmark";"Wind";1408.1000108718872;5001.740436553955;2021;1
"Denmark";"Gas";571.0;2098.869171142578;2021;1
"Denmark";"Biomass";88.0;330.2781677246094;2021;1
"Denmark";"Oil";664.0;2409.19677734375;2021;1
"Finland";"Hydro";2382.3200010061264;10121.015748500824;2021;1
"Finland";"Oil";858.8000061511993;3238.931650161743;2021;1
"Finland";"Biomass";2180.440004825592;8363.676958084106;2021;1
"Finland";"Gas";1924.0999908447266;7159.842092514038;2021;1
"Finland";"Coal";1340.0;4899.7010498046875;2021;1
"Finland";"Wind";76.59999930858612;428.45491790771484;2021;1
"Finland";"Nuclear";2752.0;9957.941650390625;2021;1
"Finland";"Other";282.5;1070.2710266113281;2021;1
"Norway";"Hydro";30474.0;117643.63014793396;2021;1
"Norway";"Wind";623.0;2375.2088165283203;2021;1
"Norway";"Gas";1454.0;5311.15364074707;2021;1
"Sweden";"Hydro";12822.900000691414;44959.68007802963;2021;1
"Sweden";"Biomass";876.7000000476837;3265.540132522583;2021;1
"Sweden";"Wind";697.100001335144;2329.1234312057495;2021;1
"Sweden";"Nuclear";9762.0;35271.333984375;2021;1
"Sweden";"Gas";1340.0;4874.369812011719;2021;1
"Sweden";"Oil";840.0;3044.421875;2021;1
"Sweden";"Coal";80.0;301.4043273925781;2021;1
"Denmark";"Solar";251.1000018119812;0.0;2022;2
"Denmark";"Geothermal";14.0;0.0;2022;2
"Denmark";"Coal";5089.0;0.0;2022;2
"Denmark";"Wind";1408.1000108718872;0.0;2022;2
"Denmark";"Gas";571.0;0.0;2022;2
"Denmark";"Biomass";88.0;0.0;2022;2
"Denmark";"Oil";664.0;0.0;2022;2
"Finland";"Hydro";2382.3200010061264;0.0;2022;2
"Finland";"Oil";858.8000061511993;0.0;2022;2
"Finland";"Biomass";2180.440004825592;0.0;2022;2
"Finland";"Gas";1924.0999908447266;0.0;2022;2
"Finland";"Coal";1340.0;0.0;2022;2
"Finland";"Wind";76.59999930858612;0.0;2022;2
"Finland";"Nuclear";2752.0;0.0;2022;2
"Finland";"Other";282.5;0.0;2022;2
"Norway";"Hydro";30474.0;0.0;2022;2
"Norway";"Wind";623.0;0.0;2022;2
"Norway";"Gas";1454.0;0.0;2022;2
"Sweden";"Hydro";12822.900000691414;0.0;2022;2
"Sweden";"Biomass";876.7000000476837;0.0;2022;2
"Sweden";"Wind";697.100001335144;0.0;2022;2
"Sweden";"Nuclear";9762.0;0.0;2022;2
"Sweden";"Gas";1340.0;0.0;2022;2
"Sweden";"Oil";840.0;0.0;2022;2
"Sweden";"Coal";80.0;0.0;2022;2
"Denmark";"Solar";251.1000018119812;0.0;2023;3
"Denmark";"Geothermal";14.0;0.0;2023;3
"Denmark";"Coal";5089.0;0.0;2023;3
"Denmark";"Wind";1408.1000108718872;0.0;2023;3
"Denmark";"Gas";571.0;0.0;2023;3
"Denmark";"Biomass";88.0;0.0;2023;3
"Denmark";"Oil";664.0;0.0;2023;3
"Finland";"Hydro";2382.3200010061264;0.0;2023;3
"Finland";"Oil";858.8000061511993;0.0;2023;3
"Finland";"Biomass";2180.440004825592;0.0;2023;3
"Finland";"Gas";1924.0999908447266;0.0;2023;3
"Finland";"Coal";1340.0;0.0;2023;3
"Finland";"Wind";76.59999930858612;0.0;2023;3
"Finland";"Nuclear";2752.0;0.0;2023;3
"Finland";"Other";282.5;0.0;2023;3
"Norway";"Hydro";30474.0;0.0;2023;3
"Norway";"Wind";623.0;0.0;2023;3
"Norway";"Gas";1454.0;0.0;2023;3
"Sweden";"Hydro";12822.900000691414;0.0;2023;3
"Sweden";"Biomass";876.7000000476837;0.0;2023;3
"Sweden";"Wind";697.100001335144;0.0;2023;3
"Sweden";"Nuclear";9762.0;0.0;2023;3
"Sweden";"Gas";1340.0;0.0;2023;3
"Sweden";"Oil";840.0;0.0;2023;3
"Sweden";"Coal";80.0;0.0;2023;3
"Denmark";"Solar";251.1000018119812;0.0;2024;4
"Denmark";"Geothermal";14.0;0.0;2024;4
"Denmark";"Coal";5089.0;0.0;2024;4
"Denmark";"Wind";1408.1000108718872;0.0;2024;4
"Denmark";"Gas";571.0;0.0;2024;4
"Denmark";"Biomass";88.0;0.0;2024;4
"Denmark";"Oil";664.0;0.0;2024;4
"Finland";"Hydro";2382.3200010061264;0.0;2024;4
"Finland";"Oil";858.8000061511993;0.0;2024;4
"Finland";"Biomass";2180.440004825592;0.0;2024;4
"Finland";"Gas";1924.0999908447266;0.0;2024;4
"Finland";"Coal";1340.0;0.0;2024;4
"Finland";"Wind";76.59999930858612;0.0;2024;4
"Finland";"Nuclear";2752.0;0.0;2024;4
"Finland";"Other";282.5;0.0;2024;4
"Norway";"Hydro";30474.0;0.0;2024;4
"Norway";"Wind";623.0;0.0;2024;4
"Norway";"Gas";1454.0;0.0;2024;4
"Sweden";"Hydro";12822.900000691414;0.0;2024;4
"Sweden";"Biomass";876.7000000476837;0.0;2024;4
"Sweden";"Wind";697.100001335144;0.0;2024;4
"Sweden";"Nuclear";9762.0;0.0;2024;4
"Sweden";"Gas";1340.0;0.0;2024;4
"Sweden";"Oil";840.0;0.0;2024;4
"Sweden";"Coal";80.0;0.0;2024;4
"Denmark";"Solar";251.1000018119812;0.0;2025;5
"Denmark";"Geothermal";14.0;0.0;2025;5
"Denmark";"Coal";5089.0;0.0;2025;5
"Denmark";"Wind";1408.1000108718872;0.0;2025;5
"Denmark";"Gas";571.0;0.0;2025;5
"Denmark";"Biomass";88.0;0.0;2025;5
"Denmark";"Oil";664.0;0.0;2025;5
"Finland";"Hydro";2382.3200010061264;0.0;2025;5
"Finland";"Oil";858.8000061511993;0.0;2025;5
"Finland";"Biomass";2180.440004825592;0.0;2025;5
"Finland";"Gas";1924.0999908447266;0.0;2025;5
"Finland";"Coal";1340.0;0.0;2025;5
"Finland";"Wind";76.59999930858612;0.0;2025;5
"Finland";"Nuclear";2752.0;0.0;2025;5
"Finland";"Other";282.5;0.0;2025;5
"Norway";"Hydro";30474.0;0.0;2025;5
"Norway";"Wind";623.0;0.0;2025;5
"Norway";"Gas";1454.0;0.0;2025;5
"Sweden";"Hydro";12822.900000691414;0.0;2025;5
"Sweden";"Biomass";876.7000000476837;0.0;2025;5
"Sweden";"Wind";697.100001335144;0.0;2025;5
"Sweden";"Nuclear";9762.0;0.0;2025;5
"Sweden";"Gas";1340.0;0.0;2025;5
"Sweden";"Oil";840.0;0.0;2025;5
"Sweden";"Coal";80.0;0.0;2025;5
"Denmark";"Solar";251.1000018119812;0.0;2026;6
"Denmark";"Geothermal";14.0;0.0;2026;6
"Denmark";"Coal";5089.0;0.0;2026;6
"Denmark";"Wind";1408.1000108718872;0.0;2026;6
"Denmark";"Gas";571.0;0.0;2026;6
"Denmark";"Biomass";88.0;0.0;2026;6
"Denmark";"Oil";664.0;0.0;2026;6
"Finland";"Hydro";2382.3200010061264;0.0;2026;6
"Finland";"Oil";858.8000061511993;0.0;2026;6
"Finland";"Biomass";2180.440004825592;0.0;2026;6
"Finland";"Gas";1924.0999908447266;0.0;2026;6
"Finland";"Coal";1340.0;0.0;2026;6
"Finland";"Wind";76.59999930858612;0.0;2026;6
"Finland";"Nuclear";2752.0;0.0;2026;6
"Finland";"Other";282.5;0.0;2026;6
"Norway";"Hydro";30474.0;0.0;2026;6
"Norway";"Wind";623.0;0.0;2026;6
"Norway";"Gas";1454.0;0.0;2026;6
"Sweden";"Hydro";12822.900000691414;0.0;2026;6
"Sweden";"Biomass";876.7000000476837;0.0;2026;6
"Sweden";"Wind";697.100001335144;0.0;2026;6
"Sweden";"Nuclear";9762.0;0.0;2026;6
"Sweden";"Gas";1340.0;0.0;2026;6
"Sweden";"Oil";840.0;0.0;2026;6
"Sweden";"Coal";80.0;0.0;2026;6
"Denmark";"Solar";251.1000018119812;0.0;2027;7
"Denmark";"Geothermal";14.0;0.0;2027;7
"Denmark";"Coal";5089.0;0.0;2027;7
"Denmark";"Wind";1408.1000108718872;0.0;2027;7
"Denmark";"Gas";571.0;0.0;2027;7
"Denmark";"Biomass";88.0;0.0;2027;7
"Denmark";"Oil";664.0;0.0;2027;7
"Finland";"Hydro";2382.3200010061264;0.0;2027;7
"Finland";"Oil";858.8000061511993;0.0;2027;7
"Finland";"Biomass";2180.440004825592;0.0;2027;7
"Finland";"Gas";1924.0999908447266;0.0;2027;7
"Finland";"Coal";1340.0;0.0;2027;7
"Finland";"Wind";76.59999930858612;0.0;2027;7
"Finland";"Nuclear";2752.0;0.0;2027;7
"Finland";"Other";282.5;0.0;2027;7
"Norway";"Hydro";30474.0;0.0;2027;7
"Norway";"Wind";623.0;0.0;2027;7
"Norway";"Gas";1454.0;0.0;2027;7
"Sweden";"Hydro";12822.900000691414;0.0;2027;7
"Sweden";"Biomass";876.7000000476837;0.0;2027;7
"Sweden";"Wind";697.100001335144;0.0;2027;7
"Sweden";"Nuclear";9762.0;0.0;2027;7
"Sweden";"Gas";1340.0;0.0;2027;7
"Sweden";"Oil";840.0;0.0;2027;7
"Sweden";"Coal";80.0;0.0;2027;7
"Denmark";"Solar";251.1000018119812;0.0;2028;8
"Denmark";"Geothermal";14.0;0.0;2028;8
"Denmark";"Coal";5089.0;0.0;2028;8
"Denmark";"Wind";1408.1000108718872;0.0;2028;8
"Denmark";"Gas";571.0;0.0;2028;8
"Denmark";"Biomass";88.0;0.0;2028;8
"Denmark";"Oil";664.0;0.0;2028;8
"Finland";"Hydro";2382.3200010061264;0.0;2028;8
"Finland";"Oil";858.8000061511993;0.0;2028;8
"Finland";"Biomass";2180.440004825592;0.0;2028;8
"Finland";"Gas";1924.0999908447266;0.0;2028;8
"Finland";"Coal";1340.0;0.0;2028;8
"Finland";"Wind";76.59999930858612;0.0;2028;8
"Finland";"Nuclear";2752.0;0.0;2028;8
"Finland";"Other";282.5;0.0;2028;8
"Norway";"Hydro";30474.0;0.0;2028;8
"Norway";"Wind";623.0;0.0;2028;8
"Norway";"Gas";1454.0;0.0;2028;8
"Sweden";"Hydro";12822.900000691414;0.0;2028;8
"Sweden";"Biomass";876.7000000476837;0.0;2028;8
"Sweden";"Wind";697.100001335144;0.0;2028;8
"Sweden";"Nuclear";9762.0;0.0;2028;8
"Sweden";"Gas";1340.0;0.0;2028;8
"Sweden";"Oil";840.0;0.0;2028;8
"Sweden";"Coal";80.0;0.0;2028;8
"Denmark";"Solar";251.1000018119812;0.0;2029;9
"Denmark";"Geothermal";14.0;0.0;2029;9
"Denmark";"Coal";5089.0;0.0;2029;9
"Denmark";"Wind";1408.1000108718872;0.0;2029;9
"Denmark";"Gas";571.0;0.0;2029;9
"Denmark";"Biomass";88.0;0.0;2029;9
"Denmark";"Oil";664.0;0.0;2029;9
"Finland";"Hydro";2382.3200010061264;0.0;2029;9
"Finland";"Oil";858.8000061511993;0.0;2029;9
"Finland";"Biomass";2180.440004825592;0.0;2029;9
"Finland";"Gas";1924.0999908447266;0.0;2029;9
"Finland";"Coal";1340.0;0.0;2029;9
"Finland";"Wind";76.59999930858612;0.0;2029;9
"Finland";"Nuclear";2752.0;0.0;2029;9
"Finland";"Other";282.5;0.0;2029;9
"Norway";"Hydro";30474.0;0.0;2029;9
"Norway";"Wind";623.0;0.0;2029;9
"Norway";"Gas";1454.0;0.0;2029;9
"Sweden";"Hydro";12822.900000691414;0.0;2029;9
"Sweden";"Biomass";876.7000000476837;0.0;2029;9
"Sweden";"Wind";697.100001335144;0.0;2029;9
"Sweden";"Nuclear";9762.0;0.0;2029;9
"Sweden";"Gas";1340.0;0.0;2029;9
"Sweden";"Oil";840.0;0.0;2029;9
"Sweden";"Coal";80.0;0.0;2029;9
"Denmark";"Solar";251.1000018119812;0.0;2030;10
"Denmark";"Geothermal";14.0;0.0;2030;10
"Denmark";"Coal";5089.0;0.0;2030;10
"Denmark";"Wind";1408.1000108718872;0.0;2030;10
"Denmark";"Gas";571.0;0.0;2030;10
"Denmark";"Biomass";88.0;0.0;2030;10
"Denmark";"Oil";664.0;0.0;2030;10
